id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
1443;Derma Man;55;aqua, sodium laureth sulfate, glycerin, cocamidopropyl betaine, peg-4 rapeseedamide, peg-7 glyceryl cocoate, sodium cocoamphoacetate, behenoyl pg-trimonium chloride, hexylene glycol, saccharide isomerate, guar hydroxypropyltrimonium chloride, glycine soja oil, tocopherol, glycereth-2 cocoate, glycol distearate, carbomer, sodium chloride, octadecyl di-t-butyl-4-hydroxyhydrocinnamate, lactic acid, citric acid, sodium citrate, sodium hydroxide, sodium benzoate, phenoxyethanol;https://www.hebe.pl/derma-zel-pod-prysznic-3w1-350-ml-51792719.html;normalne;normalna;srednia
1444;Lisap Milano Keep Control;95;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, laureth-2, peg-15 cocopolyamine, sodium cocoyl hydrolyzed wheat protein, benzyl alcohol, disodium edta, adansonia digitata seed oil, nigella sativa seed oil, selaginella lepidophylla extract, prunus armeniaca kernel oil, lens esculenta seed extract, hydrolyzed cicer seed extract, chenopodium quinoa seed extract, lactobacillus ferment, methylchloroisothiazolinone, methylisothiazolinone, parfum;https://www.hebe.pl/lisap-milano-szampon-oczyszczajacy-po-twalej-ondulacji-500-ml-76246527.html;normalne;normalna;wysoka
1445;Solfine;59;aqua, sodium cocoamphoacetate, sodium c14-16 olefin sulfonate, sodium lauroyl sarcosinate, peg-120 methyl glucose dioleate, citric acid, cocamidopropyl betaine, ethoxydiglycol, peg-40 hydrogenated castor oil, piroctone olamine, cocamide dea, propylene glycol, polyquaternium-47, guar hydroxypropyltrimonium chloride, lavandula angustifolia oil, vanilla planifolia extract, rosmarinus officinalis leaf oil, lysine carboxymethyl cysteinate, glycerin, lysine thiazolidine carboxylate, hydrolyzed hyaluronic acid, sodium hyaluronate, tetrasodium edta, lactic acid, ethylparaben, methylparaben, propylparaben, imidazolidinyl urea, sodium benzoate, phenoxyethanol, sodium methylparaben, sodium dehydroacetate, sorbic acid, linalool;https://www.hebe.pl/solfine-szampon-przeciwlupiezowy-anti-dandruff-350-ml-000000000000430228.html;normalne;tlusta/lupiez;srednia
1446;Davines Alchemic Tobacco;98;aqua, sodium lauroyl methyl isethionate, glycerin, cocamidopropyl betaine, disodium cocoamphodiacetate, sodium lauroyl sarcosinate, decyl glucoside, pantheno, sodium cocyl glyconate, acrylates, alkyl acrylate crosspolymer, benzyl alcohol, sodium chloride, parfum, polysorbate 20, polyester-11, sodium benzoate, sodium pca, polyquaternium, trisodium ethylenediamine disuccinate, guar hydroxypropyltrimonium chloride, tetrasodium glutamate, diacetate, basic brown 17;https://www.hebe.pl/davines-szampon-do-wlosow-brazowych-i-jasnobrazowych-280-ml-70662558.html;normalne;normalna;srednia
1447;Aveda Color Control;50;wateraqua eau, sodium cocoyl methyl isethionate, cocamidopropyl hydroxysultaine, sodium chloride, propanediol, cocamide mipa, sodium methyl cocoyl taurate, glycol stearate, prunus armeniaca kernel oil, arginine, glycine soja oil, tocopherol, ethyl macadamiate, behenyl octyldodecyl propanediol citrate crosspolymer, octyldodecyl citrate crosspolymer, hydroxypropyl guar hydroxypropyltrimonium chloride, sodium gluconate, glyceryl caprylate, citric acid, fragrance, limonene, eugenol, amyl cinnamal, hydroxycitronellal, citronellol, benzyl acetate, geraniol, linalool, sodium phytate, phenoxyethanol, potassium sorbate;https://www.hebe.pl/aveda-bogaty-szampon-do-wlosow-farbowanych-50-ml-77177084.html;normalne;normalna;niska
1448;Goldwell Dualsenses Color Extra Rich;143;water, sodium laureth sulfate, sodium lauroyl sarcosinate, cocamidopropyl hydroxysultaine, glycol distearate, sodium lauroyl glutamate, sodium pca, glycoproteins, ethylhexyl methoxycinnamate, tetrasodium gklutamate diacetate, panthenol, glycerin, octyldodecyl pca, palmitamidopropyltrimonium chloridem propylene glycol, rubus idaeus seed oil, salix nigra bark extract, silicone, cocamide mea, isostearamide mipa, ppg-3 myristyl ether, glyceryl laurate, phenyl trimethicone, helianthus annuus seed oil, rosmarinus officinalis leaf extract, citric acid, sodium chloride, sodium hydroxide, sodiumk benzoate, benzoic acid, fragrance, red 33;https://www.hebe.pl/goldwell-szampon-do-wlosow-farbowanych-1000-ml-43933272.html;normalne;normalna;srednia
1449;Garden Supernatural Shampoo Colored Hair;59;aqua, sodium lauroyl sarcosinate, cocamidopropyl betaine, disodium laureth sulfosuccinate, peg-120 methyl glucose dioleate, sodium coco-sulfate, lauroyl/myristoyl methyl glucamide, glycerin, peg-40 hydrogenated castor oil, quaternium-98, polyquaternium-7, acrylates copolymer, parfum, sodium benzoate, citric acid, potassium sorbate, coco betaine, polyquaternium-10, panthenol, propylene glycol, sodium cocoyl isethionate, disodium edta, sodium chloride, sodium methyl cocoyl taurate, sorbic acid, camellia sinensis leaf extract, sodium acetate, isopropanol, coumarin, d-limonene, hexyl cinnamal, linalool;https://www.hebe.pl/garden-szampon-do-wlosow-farbowanych-250-ml-73506583.html;krecone/falowane;normalna;srednia
1450;Sebastian Professional Seb Man;61;aqua, sodium laureth sulfate, peg-3 distearate, sodium laureth-8 sulfate, cocamidopropyl betaine, propylene glycol, piroctone olamine, sodium chloride, parfum, phenoxyethanol, citric acid, panthenol, sodium oleth sulfate, magnesium laureth-8 sulfate, magnesium laureth sulfate, sodium benzoate, magnesium oleth sulfate, polyquaternium-10, allantoin, caffeine, hexyll cinnamal, benzoic acid, ethylhexylglycerin, linalool, coumarin, limonene, paullinia cupana seed extract, aloe barbadensis leaf juice, methylparaben, propylparaben, tocopherol, potassium sorbate, sodium hydroxide, sodium sulfite;https://www.hebe.pl/sebastian-professional-oczyszczajacy-szampon-do-wlosow-250-ml-66169816.html;krecone/falowane;tlusta/lupiez;srednia
1451;Coslys;66;aqua, sodium coco-sulfate, cocamidopropyl betaine, decyl glucoside, aloe barbadensis leaf juice powder, sodium chloride, sodium benzoate, cocodimonium hydroxypropyl hydrolyzed wheat protein, parfum, lactic acid, sodium dehydroacetate, sodium sulfate, coconut alcohol;https://www.hebe.pl/coslys-szampon-do-wlosow-dla-calej-rodziny-z-organicznym-aloesem-1-l-66717401.html;normalne;sucha/wrazliwa;wysoka
1452;Sebastian Professional No.Breaker;109;aqua, sodium lauryl sulfate, sodium laureth sulfate, cocamidopropyl betaine, glycol distearate, dimethicone, cocamide mea, parfum, panthenol, sodium benzoate, malic acid, guar hydroxypropyltrimonium chloride, sodium citrate, sodium chloride, trisodium ethylenediamine disuccinate, glycerin, hexyl cinnamal, sodium hydroxide, benzyl salicylate, linalool, hydrochloric acid, citric acid, magnesium nitrate, methylchloroisothiazolinone, magnesium chloride, methylisothiazolinone, sodium xylenesulfonate;https://www.hebe.pl/sebastian-professional-szampon-nawilzajacy-i-wzmacniajacy-zniszczone-wlosy-250-ml-000000000000581726.html;puszace/suche;normalna;srednia
1453;SO'BiO etic;59;aqua, decyl glucoside, cocamidopropyl betaine, cocos nucifera oil, glyceryl stearate, ricinus communis oil, benzyl alcohol, xanthan gum, sodium chloride, sodium cocoyl glutamate, lactic acid, glycerin, guar hydroxypropyltrimonium chloride, parfum, aloe barbadensis leaf juice powder, caesalpina spinosa gum, linalool, sodium hyaluronate, potassium sorbate, sodium benzoate, sodium hydroxide;https://www.hebe.pl/sobio-etic-szampon-nawilzajacy-kokos-i-kwas-hialuronowy-250-ml-76357873.html;normalne;sucha/wrazliwa;srednia
1454;Coslys;66;aqua, spiraea ulmaria flower water, sodium coco-sulfate, decyl glucoside, cocamidopropyl betaine, undecylenoyl oat amino acids, sodium chloride, aloe barbadensis leaf juice power, arctium lappa root extract, parfum, coconut alcohol, guar hydroxypropyltrimonium chloride, grycerin, sodium sulfate, dehydroacetic acid, citric acid, benzyl alcohol, lactic acid, limonene, linalol, geraniol, citral;https://www.hebe.pl/coslys-szampon-do-wlosow-przetluszczajacych-sie-500-ml-66717449.html;normalne;sucha/wrazliwa;niska
1455;Ayunche Derma Calming;159;aqua, sodium c14-16 olefin sulfonate, glycerin, sorbitol, lauryl betaine, lauryl hydroxysultaine, coco-glucoside, alcohol denat, parfum, sodium methyl cocoyl taurate, panthenol, polyquaternium-10, ppg-3 caprylyl ether, chamomilla recutita flower water, citric acid, di-c12-13 alkyl malate, sodium citrate, sodium chloride, sodium salicylate, xylitylglucoside, tetrasodium edta, dehydroacetic acid, anhydroxylitol, xylitol, butylene glycol, glucose, 1,2-hexanediol, potassium cocoyl glycinate, camellia japonica seed oil, madecassoside, propanediol, ceramide np, sodium hyaluronate, ethylhexylglycerin, disodium edta, hydrogenated lecithin, phytosphingosine, hydrolyzed hyaluronic acid, sodium hyaluronate crosspolymer, hyaluronic acid, sodium acetylated hyaluronate;https://www.hebe.pl/ayunche-szampon-do-wlosow-lagodzacy-350-g-77167026.html;krecone/falowane;normalna;srednia
1456;Madara Gloss & Vibrancy;79;aqua, sodium coco-sulfate, coco glucoside, rosa damascena flower water, cocamidopropyl betaine, betaine, citric acid, sodium chloride, glyceryl oleate, aroma, benzyl alcohol, betula alba leaf water, vaccinium macrocarpon fruit extract, brassica alcohol, sodium benzoate, brasissyl isoleucinate esylate, hydrolyzed wheat protein, potassium sorbate, limonene, linalool;https://www.hebe.pl/madara-szampon-do-wlosow-250-ml-62026220.html;normalne;normalna;wysoka
1457;Ayunche Derma Calming;132;aqua, sodium c14-16 olefin sulfonate, glycerin, sorbitol, lauryl betaine, lauryl hydroxysultaine, coco-glucoside, alcohol denat, parfum, sodium methyl cocoyl taurate, panthenol, polyquaternium-10, ppg-3 caprylyl ether, chamomilla recutita flower water, citric acid, di-c12-13 alkyl malate, sodium citrate, sodium chloride, sodium salicylate, xylitylglucoside, tetrasodium edta, dehydroacetic acid, anhydroxylitol, xylitol, butylene glycol, glucose, 1,2-hexanediol, potassium cocoyl glycinate, camellia japonica seed oil, madecassoside, propanediol, ceramide np, sodium hyaluronate, ethylhexylglycerin, disodium edta, hydrogenated lecithin, phytosphingosine, hydrolyzed hyaluronic acid, sodium hyaluronate crosspolymer, hyaluronic acid, sodium acetylated hyaluronate;https://www.hebe.pl/ayunche-szampon-do-wlosow-lagodzacy-200-g-77167025.html;krecone/falowane;normalna;srednia
1458;Coslys;55;aqua, spiraea ulmaria flower water, sodium coco-sulfate, decyl glucoside, cocamidopropyl betaine, glycerin, sodium chloride, coco-glucoside, glyceryl oleate, citrus paradisi peel oil, perfume, citric acid, benzyl alcohol, sodium sulfate, coconut alcohol, dehydroacetic acid, limonene;https://www.hebe.pl/coslys-ultra-delikatny-szampon-i-zel-pod-prysznic-2w1-z-grejpfrutem-750-ml-66717400.html;normalne;normalna;srednia
1459;Balmain Moisturizing;258;aqua, sodium laureth sulfate, decyl glucoside, cocamidopropylamine oxide, sodium cocoamphoacetate, glycerin, argania spinosa kernel oil, silk amino acids, panthenol, coco-glucoside, glyceryl oleate, dimethylpabamidopropyl lauryldimonium tosylate, propylene glycol stearate, guar hydroxypropyltrimonium chloride, lauryl glucoside, glycereth-2 cocoate, sodium laureth- 11 carboxylate, polyquaternium-44, laureth-10, glycol distearate, acrylates copolymer, parfum, peg-18 glyceryl oleate, phenoxyethanol, iodopropynyl butylcarbamate, citric acid;https://www.hebe.pl/balmain-nawilzajacy-szampon-do-wlosow-z-olejkiem-arganowym-300-ml-49829819.html;normalne;normalna;srednia
1460;Waterclouds Color Care;76;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium laureth, glycol distearate, cocamide, sodium laureth, carboxylate, peg, rapeseedamide, glycereth, cocoate, dimethicone, glycerin, phenoxyethanol, caprylyl glycol, parfum, benzyl cinnamate, limonene, citronellol, linalool, citral, geraniol, hydroxypropyl guar hydroxypropyltrimonium chloride, hydrolyzed rhodophycea extract, butylene glycol, limonium gerberi extract, hippophaë rhamnoides oil, crambe maritima extract, caprilic, capric triglyceride, inula crithmoide extract, citric acid, sodium chloride, ci 17200;https://www.hebe.pl/waterclouds-odzywczy-szampon-do-wlosow-farbowanych-250-ml-50703777.html;puszace/suche;normalna;srednia
1461;Aveda Nutriplenish Shampoo Deep Moisture;138;wateraqua, sodium cocoyl isethionate, sodium methyl cocoyl taurate, babassuamidopropyl betaine, coco-glucoside, sodium chloride, glyceryl oleate, glycol distearate, disodium cocoyl glutamate, sodium cocoyl glutamate, punica granatum seed oil, mangifera indica seed butter, cocos nucifera oil, cocos nucifera fruit juice, helianthus annuus seed oil, hydrolyzed adansonia digitata extract, avena sativa bran extract, citrus aurantium dulcis peel extract, glycerin, squalane, tocopherol, citric acid, farnesol, linalool, benzyl salicylate, citronellol, citral, hydroxycitronellal, limonene, benzyl benzoate, cinnamal, benzyl cinnamate, amyl cinnamal, geraniol, cinnamyl alcohol, caprylyl glycol, sodium phytate, sodium hydroxide, phenoxyethanol, potassium sorbate;https://www.hebe.pl/aveda-nawilzajacy-szampon-do-wlosow-250-ml-77541549.html;normalne;normalna;srednia
1462;Ida Warg Colour Protecting;89;aqua, sodium lauroyl methyl isethionate, cocamidopropyl betaine, disodium laureth sulfosuccinate, sodium lauryl sulfoacetate, glycol distearate, phyllostachys nigra leaf extract, persea gratissima oil, sodium methoxy peg-16 maleate, guar hydroxypropyltrimonium chloride, glycerin, peg-150 pentaerythrityl tetrastearate, ppg-2 hydroxyethyl cocamide, benzoic acid, dehydroacetic acid, lactic acid, potassium sorbate, benzyl salicylate, hexyl cinnamal, linalool, phenoxyethanol;https://www.hebe.pl/ida-warg-szampon-do-wlosow-ochrona-koloru-250-ml-54197036.html;normalne;normalna;srednia
1463;Collistar Attivi Puri Hair Niacinamide;79;butane, propane, alcohol denat, oryza sativa starch, isobutane, aluminum starch octenylsuccinate, parfum, peg-7 amodimethicone, propanediol, glycerin, aqua, tocopheryl acetate, propylene glycol, isocetyl alcohol, niacinamide, urtica dioica leaf extract, panax ginseng root extract, peg-12 dimethicone, saccharomyces, saccharomyces, saccharomyces, saccharomyces, saccharomyces, ceramide np, leuconostoc, cetyl alcohol, cyclodextrin, moringa oleifera seed extract;https://www.hebe.pl/collistar-suchy-szampon-z-niacynamidem-150-ml-77167253.html;puszace/suche;normalna;srednia
1464;SO'BiO etic;61;aqua, decyl glucoside, helianthus annuus seed oil, glycerin, sunfloweroid methylglucamide, prunus amygdalus dulcis oil, xanthan gum, anthemis nobilis flower water, aloe barbadensis leaf juice powder, arachidyl alcohol, arachidyl glucoside, behenyl alcohol, sodium levulinate, lactic acid, sodium benzoate;https://www.hebe.pl/sobio-etic-ultra-bogaty-krem-do-mycia-ciala-i-wlosow-dla-niemowlat-i-dzieci-500-ml-67927652.html;normalne;sucha/wrazliwa;srednia
1465;Kevin Murphy Repair Me Wash;32;water, sodium methyl 2, sulfolaurate, sodium cocoyl isethionate, cocamidopropyl hydroxysultaine, cocamide mipa, disodium 2, sulfolaurate, cocamidopropyl betaine, peg, 2 cocamide, glycol stearate, panthenol, bambusa vulgaris leaf/stem extract, silk amino acids, hydrolyzed pea protein, papain, aloe barbadensis leaf juice, urtica dioica extract, aesculus hippocastanum seed extract, euterpe oleracea fruit extract, oryza sativa bran oil, keratin amino acids, bromelain, creatine, apigenin, biotinoyl tripeptide, 1, oleanolic acid, lactic acid, zinc picolinate, glycerin, xanthan gum, hydrolyzed rice protein, isopropyl alcohol, butylene glycol, propanediol, butyloctanol, dicetyldimonium chloride, silicone quaternium, 16, ppg, 26, buteth, 26, glycol distearate, guar hydroxypropyltrimonium chloride, undeceth, 11, peg, 120 methyl glucose trioleate, steareth, 4, peg, 40 hydrogenated castor oil, undeceth, 5, polyquaternium, 7, polyquaternium, 10, disodium edta, phenoxyethanol, ethylhexylglycerin, benzoic acid, potassium sorbate, sodium benzoate, lactobacillus ferment, iodopropynyl butylcarbamate, citric acid, fragrance, benzyl benzoate, coumarin, alpha, isomethyl ionone, benzyl alcohol;https://www.hebe.pl/kevin-murphy-szampon-do-wlosow-40-ml-76280330.html;normalne;sucha/wrazliwa;srednia
1466;Argital;63;aqua, sodium cocoyl glutamate, caprylyl, capryl glucoside, alcohol, juniperus communis extract, arctium lappa extract, lauryl glucoside, arnica montana extract, solum fullonum, xanthan gum, betaine, styrax benzoin extract, berberis vulgaris extract, lactic acid, cananga odorata oil, lavandula hybrida oil, eugenia caryophyllus oil, pogostemon cablin oil, lecithin, olea europaea oil, prunus amygdalus dulcis oil, triticum vulgare germ oil;https://www.hebe.pl/argital-szampon-do-wlosow-suchch-i-normalnych-250-ml-66717464.html;normalne;normalna;niska
1467;Londa Professional Impressive Volume;77;aqua, sodium laureth sulfate, sodium lauryl sulfate, sodium chloride, sodium xylenesulfonate, cocamidopropyl betaine, sodium citrate, sodium benzoate, citric acid, parfum, salicylic acid, tetrasodium edta, methylparaben, hydroxypropyl methylcellulose, alpha-isomethyl ionone, propylene glycol, hexyl cinnamal, cymbopogon citratus extract, cereus grandiflorus flower extract, bambusa vulgaris leaf, stem extract, phenoxyethanol, potassium sorbate, propylparaben, ethylparaben, butylparaben;https://www.hebe.pl/londa-professional-szampon-zwiekszajacy-objetosc-wlosow-1000-ml-62380153.html;normalne;tlusta/lupiez;niska
1468;Reuzel Scrub Shampoo;58;water, sodium laureth sulfate, cocamidopropyl betaine, hydrated silica, polylactic acid, hamamelis virginiana extract, urtica dioica extract, equisetum arvense extract, rosmarinus officinalis flower extract, fragrance, acrylates crosspolymer-4, benzyl alcohol, dehydroacetic acid, citric acid, sodium chloride, sodium hydroxide, benzyl salicylate, limonene, hexy cinnamal, methyl ionone gamma, linalool, coumarin, citronelloln;https://www.hebe.pl/reuzel-szampon-oczyszczajacy-do-wlosow-100-ml-49664531.html;normalne;normalna;niska
1469;Arkemusa Botolike;36;aqua, sodium laureth sulfate, sodium chloride, decyl glucoside, cocamidopropyl betaine, polyquaternium-10, polyquaternium-7, hydrolyzed soy protein, hydrolyzed rice protein, hydrolyzed quinoa, sodium hyaluronate, benzophenone-4, citric acid, parfum, limonene, hexyl cinnamal, linalool, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/arkemusa-szampon-do-wlosow-zniszczonych-500-ml-76971322.html;krecone/falowane;normalna;niska
1470;Zielone Laboratorium;80;aqua, cocamidopropyl betaine, sodium cocoamphoacetate, citric acid, glycerin, camellia sinensis leaf extract, helianthus annuus seed oil, prunus amygdalus dulcis oil, sucrose laurate, sucrose stearate, hydrolyzed oats, panthenol, guar hydroxypropyltrimonium chloride, rosmarinus officinalis leaf oil, lavandula angustifolia herb oil, sodium chloride, phytic acid, sodium hydroxide, sodium citrate, xanthan gum, potassium sorbate, sodium benzoate, limonene, linalool;https://www.hebe.pl/zielone-laboratorium-szampon-detoksykujacy-do-wlosow-z-proteinami-owsa-i-zielona-herbata-250-ml-58293214.html;normalne;normalna;srednia
1471;Zielone Laboratorium;94;aqua, sodium cocoamphoacetate, cocamidopropyl betaine, glycerin, lactic acid, rosmarinus officinalis extract, equisetum arvense extract, mentha piperita herb extract, pelargonium graveolens flower oil, lavandula angustifolia herb oil, rosmarinus officinalis leaf oil, eucalyptus globulus leaf oil, melaleuca alternifolia leaf oil, disodium lauryl sulfosuccinate, phytic acid, sodium hydroxide, sodium citrate, xanthan gum, potassium sorbate, sodium benzoate, d-limonene, linalool, citronellol, geraniol;https://www.hebe.pl/zielone-laboratorium-aromaterapeutyczny-szampon-do-wlosow-z-olejkami-eterycznymi-250-ml-58271758.html;normalne;normalna;srednia
1472;Bebble;32;woda, laurylosiarczan sodu, betaina kokamidopropylowa, glukozyd laurylowy, gliceryna, mleczan alkilowy c12-13, ekstrakt z kwiatów rumianku pospolitego, ekstrakt z lipy puszystej, niacynamid, pantenol, kwas cytrynowy, substancja zapachowa, benzoesan sodu, sorbinian potasu, chlorek sodu;https://www.hebe.pl/bebble-szampon-do-wlosow-2w1-banan-250-ml-77248321.html;normalne;normalna;niska
1473;Reistill;38;aqua, sodium coceth sulfate, cocamidopropyl betaine, sodium chloride, glycol stearate, parfum, glycerin, disodium laureth sulfosuccinate, polyquaternium-10, citric acid, propylene glycol, peg-5 cocomonium methosulfate, magnesium nitrate, sodium glutamate, sodium cocoyl glutamate, magnesium chloride, ribes nigrum leaf extract, rubus idaeus fruit extract, vitis vinifera leaf extract, cocodimonium hydroxypropyl silk amino acids, hydrolyzed silk, laurdimonium hydroxypropyl hydrolyzed wheat protein, hydrolyzed wheat protein, methylchloroisothiazolinone, hydroxypropyl guar, hydroxypropyltrimonium chloride, saccharomyces/zinc ferment, saccharomyces/magnesium ferment, saccharomyces/silicon ferment, saccharomyces/iron ferment, saccharomyces/copper ferment, methylisothiazolinone, leuconostoc/radish root ferment filtrate;https://www.hebe.pl/reistill-szampon-do-wlosow-kolorowanych-colour-safe-250-ml-000000000000484822.html;krecone/falowane;normalna;wysoka
1474;Reistill;34;aqua, sodium coceth sulfate, cocamidopropyl betaine, disodium laureth sulfosuccinate, cocoyl hydrolyzed wheat protein, cocodimonium hydroxypropyl silk amino acids, hydrolyzed silk, sodium cocoyl glutamate, saccharomyces, saccharomyces, saccharomyces, saccharomyces, saccharomyces, leuconostoc, mel, prunus amygdalus dulcis seed extract, glycerin, parfum, polyquaternium-10, sodium chloride, citric acid, glycol cetearate, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/reistill-odzywczy-szampon-do-wlosow-z-proteinami-jedwabiu-250-ml-000000000000480926.html;krecone/falowane;normalna;wysoka
1475;Glossco Professional Scalp Control;109;aqua, sodium laureth sulfate, cocamidopropyl betaine, alcohol denat, cocamide dea, piroctone olamine, climbazole, polyquaternium-7, salicylic acid, glycerin, arctium majus root extract, arnica montana flower extract, calendula officinalis flower extract, chamomilla recutita flower extract, citrus limon peel extract, hedera helix leaf extract, lamium album extract, nasturtium officinale extract, pinus sylvestris bud extract, rosmarinus officinalis leaf extract, salvia officinalis leaf extract, tropaeolum majus flower extract, guar hydroxypropyltrimonium chloride, phenoxyethanol, sodium benzoate, sodium chloride, ethylhexylglycerin, potassium sorbate, sodium hydroxide, glycol distearate, citric acid, cocamide mea, tetrasodium edta, linalool, hexyl cinnamal, parfum;https://www.hebe.pl/glossco-professional-przeciwlupiezowy-szampon-do-wlosow-z-wyciagiem-z-lopianu-1000-ml-45937473.html;normalne;tlusta/lupiez;srednia
1476;Emsibeth Keyliss;168;aqua, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, sodium cocoyl isethionate, sodium lauroyl sarcosinate, peg-40 hydrogenated castor oil, phenoxyethanol, peg-150 distearate, hedrogenated coconut acid, polyquaternium-10, sodium isethionate, ethylhexylglycerin, lactic acid, laureth-2, peg/ppg-120/10 trimethylolpropane trioleate, disodium edta, limonene, sodium benzoate, hydrolyzed keratin, trimetes versicolor extract, leuconostoc/radish root ferment filtrate;https://www.hebe.pl/emsibeth-pre-szampon-przygotowujacy-do-zabiegu-keratynowego-prostowania-wlosow-500-ml-71355864.html;krecone/falowane;normalna;wysoka
1477;Officina Naturae CO.SO Man;59;sodium coco-sulfate, aqua, cetearyl alcohol, polyglyceryl-6 stearate, zea mays starch, glycerin, polyglyceryl-6 behenate, distearoylethyl dimonium chloride, parfum, erythritol, hydrolyzed wheat protein, betula alba leaf extract, citric acid, chelidonium majus extract, caprylic, capric triglyceride, apium graveolens seed extract, tetrasodium glutamate diacetate, potassium sorbate, sodium benzoate, indigofera tinctoria leaf extract, charcoal powder;https://www.hebe.pl/officina-naturae-szampon-w-kostce-dla-mezczyzn---lupiez-i-tlusta-skora-glowy-50-g-66138198.html;normalne;normalna;wysoka
1478;Pan Drwal Black;99;aqua, sodium cocoamphoacetate, lauryl glucoside, glycerin, betaine, sodium cocoyl glutamate, sodium lauryl glucose carboxylate, hydrolyzed adansonia digitata seed extract, ganoderma lucidum extract, rosmarinus officinalis leaf extract, chamomilla recutita flower extract, arnica montana flower extract, lamium album extract, salvia officinalis leaf extract, pinus sylvestris bud extract, nasturtium officinale extract, arctium majus root extract, citrus limon peel extract, hedera helix leaf extract, calendula officinalis flower extract, tropaeolum majus flower extract, panthenol, grape seed oil glycereth-8 esters, coco-glucoside, glyceryl oleate, tocopherol, propylene glycol, citric acid, hydrogenated vegetable glycerides citrate, sodium phytate, benzyl alcohol, sodium benzoate, potassium sorbate, parfum, linalool, limonene, linalyl acetate, tetramethyl acetyloctahydronaphthalenes, vanillin, citrus aurantium peel oil;https://www.hebe.pl/pan-drwal-szampon-do-wlosow-200-ml-45309399.html;normalne;normalna;srednia
1479;Londa Professional Scalp;54;aqua, sodium laureth sulfate, sodium lauryl sulfate, sodium chloride, sodium xylenesulfonate, cocamidopropyl betaine, sodium citrate, sodium benzoate, citric acid, parfum, hydroxypropyl methylcellulose, salicylic acid, tetrasodium edta, linalool, methylparaben, menthol, limonene, citronellol, geraniol, simmondsia chinensis seed oil, caffeine;https://www.hebe.pl/londa-professional-szampon-odzywiajacy-skore-glowy-250-ml-000000000000529823.html;normalne;tlusta/lupiez;niska
1480;Fudge All Blonde Colour;79;aqua, sodium lauroyl methyl isethionate, sodium methyl cocoyl taurate, cocamidopropyl betaine, glycol distearate, lauryl glucoside, peg-120 methyl glucose dioleate, glycerin, phenoxyethanol, sodium chloride, benzyl alcohol, sodium lauroyl sarcosinate, parfum, carbomer, disodium edta, polyquaternium-10, mica, pentylene glycol, sodium hydroxide, sodium benzoate, hexyl cinnamal, silicone quaternium-22, limonene, hydrolyzed vegetable protein pg-propyl silanetriol, dipropylene glycol, polyglyceryl-3 caprate, propylene glycol, citrus limon fruit extract, palmitamidopropyltrimonium chloride, potassium sorbate, lactobacillus ferment, ci 77891, ci 77491, ci 19140, ci 14700, ci 42090;https://www.hebe.pl/fudge-szampon-do-wlosow-blond-chroniacy-przed-blaknieciem-koloru-250-ml-000000000000484428.html;krecone/falowane;normalna;srednia
1481;Two Cosmetics;41;sodium cocoyl isethionate, aqua, olea europaea fruit oil, chondrus crispus extrakt, cocos nucifera fruit extract, perfume, hydrolyzed corn protein, hydrolyzed wheat protein, hydrolyzed soy protein, leuconostroc, symphytum officinale macerate, urtica dioica macerate, kaolin;https://www.hebe.pl/two-cosmetics-kokosowy-szampon-w-kostce-85-g-76247183.html;normalne;normalna;wysoka
1482;MartiDerm Hair System;63;aqua, sodium laureth sulfate, sodium lauroyl sarcosinate, decyl glucoside, cocamidopropyl betaine, peg-7 glyceryl cocoate, sodium cocoamphoacetate, caprylyl capryl glucoside, c12-13 alkyl lactate, peg-12 dimethicone, citric acid, salicylic acid, sodium phytate, inositol, lactic acid, milk protein, acetyl cysteine, acetyl methionine, apigenin, oleanolic acid, biotinoyl tripeptide-1, nicotiana benthamiana hexapeptide-40 sh-polypeptide-86, nicotiana benthamiana hexapeptide-40 sh-polypeptide-9, nicotiana benthamiana octapeptide-30 sh-oligopeptide, peg-55 propylene glycol oleate, propylene glycol, sodium levulinate, polyquaternium-22, butylene glycol, alcohol denat, panthenyl ethyl ether, ppg-26-buteth-26, peg-40 hydrogenated castor oil, alcohol, lactose, sodium citrate, phosphate buffered saline, tris buffered saline, parfum, potassium sorbate, sodium benzoate, phenoxyethanol, dehydroacetic acid, ci 19140, ci 16255;https://www.hebe.pl/martiderm-szampon-do-wlosow-200ml-76040301.html;puszace/suche;tlusta/lupiez;niska
1483;Sebastian Professional Sebastian Care;104;woda, siarczan sodowolauretowy, siarczan laurylowy sodu, kokamidopropylobetaina, kwas cytrynowy, zapach, kokamid, benzoesan sodu, chlorek sodu, kwas salicylowy, tetrasodium edta, wodorotlenek sodu, metyloparaben, gliceryna, salicylan benzylu, fosforan chlorku linoloamidopropylu pg-dimonium, glikol propylenowy, chlorek hydroksypropylotrimoniowy guar, heksylocynamon, linalool, limonen, octan tokoferylu;https://www.hebe.pl/sebastian-professional-szampon-oczyszczajacy-do-wlosow-250-ml-000000000000531169.html;normalne;normalna;niska
